origin_airport,origin_airport_name,destination_airport,destination_airport_name,total_flights,cancelled_flights,cancellation_pct,avg_departure_delay_mins,avg_departure_delay_time,avg_arrival_delay_mins,avg_arrival_delay_time
10135,"Airport Code: 10135",10397,"Airport Code: 10397",88,0,0.00,6,00:05:56,2,00:02:10
10135,"Airport Code: 10135",11433,"Airport Code: 11433",75,0,0.00,15,00:14:38,12,00:11:32
10135,"Airport Code: 10135",13930,"Airport Code: 13930",76,0,0.00,8,00:08:10,7,00:06:46
10136,"Airport Code: 10136",11298,"Airport Code: 11298",201,7,3.48,4,00:04:04,-6,-00:05:57
10140,"Airport Code: 10140",10397,"Airport Code: 10397",91,0,0.00,0,-00:00:22,-5,-00:05:03
10140,"Airport Code: 10140",10821,"Airport Code: 10821",62,0,0.00,4,00:04:29,-6,-00:06:22
10140,"Airport Code: 10140",11259,"Airport Code: 11259",145,0,0.00,7,00:07:12,7,00:07:07
10140,"Airport Code: 10140",11292,"Airport Code: 11292",161,0,0.00,8,00:08:23,3,00:03:00
10140,"Airport Code: 10140",11298,"Airport Code: 11298",185,4,2.16,10,00:09:57,5,00:05:19
10140,"Airport Code: 10140",12191,"Airport Code: 12191",88,0,0.00,4,00:03:31,-1,-00:01:09
10140,"Airport Code: 10140",12266,"Airport Code: 12266",64,0,0.00,-3,-00:02:38,-6,-00:06:23
10140,"Airport Code: 10140",12478,"Airport Code: 12478",28,0,0.00,21,00:21:24,13,00:12:45
10140,"Airport Code: 10140",12889,"Airport Code: 12889",119,0,0.00,9,00:09:12,2,00:02:09
10140,"Airport Code: 10140",12892,"Airport Code: 12892",176,0,0.00,7,00:07:25,3,00:03:07
10140,"Airport Code: 10140",13198,"Airport Code: 13198",31,0,0.00,17,00:17:02,16,00:15:37
10140,"Airport Code: 10140",13232,"Airport Code: 13232",61,0,0.00,5,00:05:12,-6,-00:05:51
10140,"Airport Code: 10140",13487,"Airport Code: 13487",31,0,0.00,-2,-00:02:06,-3,-00:03:04
10140,"Airport Code: 10140",13796,"Airport Code: 13796",78,0,0.00,9,00:08:45,-1,-00:00:46
10140,"Airport Code: 10140",13930,"Airport Code: 13930",88,1,1.14,0,-00:00:15,-8,-00:07:52
10140,"Airport Code: 10140",14057,"Airport Code: 14057",26,0,0.00,12,00:11:44,2,00:01:55
10140,"Airport Code: 10140",14107,"Airport Code: 14107",176,0,0.00,11,00:11:09,8,00:08:12
10140,"Airport Code: 10140",14679,"Airport Code: 14679",57,0,0.00,2,00:01:40,-6,-00:05:33
10140,"Airport Code: 10140",14747,"Airport Code: 14747",31,0,0.00,-7,-00:06:43,-13,-00:13:29
10140,"Airport Code: 10140",14771,"Airport Code: 14771",31,1,3.23,1,00:00:52,-7,-00:07:16
10140,"Airport Code: 10140",14869,"Airport Code: 14869",87,1,1.15,-5,-00:04:48,-10,-00:09:37
10141,"Airport Code: 10141",13487,"Airport Code: 13487",71,1,1.41,2,00:01:31,1,00:00:40
10146,"Airport Code: 10146",10397,"Airport Code: 10397",87,0,0.00,9,00:08:40,11,00:10:45
10154,"Airport Code: 10154",10721,"Airport Code: 10721",7,0,0.00,29,00:29:00,26,00:26:26
10154,"Airport Code: 10154",12478,"Airport Code: 12478",21,0,0.00,21,00:20:49,25,00:25:14
10155,"Airport Code: 10155",11298,"Airport Code: 11298",148,7,4.73,-4,-00:04:07,-13,-00:12:34
10157,"Airport Code: 10157",14771,"Airport Code: 14771",122,3,2.46,12,00:12:14,9,00:09:15
10158,"Airport Code: 10158",10397,"Airport Code: 10397",31,0,0.00,-2,-00:01:46,-6,-00:05:31
10158,"Airport Code: 10158",11697,"Airport Code: 11697",62,0,0.00,-1,-00:00:30,-6,-00:06:20
10158,"Airport Code: 10158",13204,"Airport Code: 13204",62,1,1.61,-1,-00:00:54,-4,-00:03:43
10158,"Airport Code: 10158",13577,"Airport Code: 13577",31,0,0.00,-6,-00:06:02,-9,-00:08:41
10158,"Airport Code: 10158",14635,"Airport Code: 14635",31,0,0.00,12,00:11:58,5,00:05:06
