airport_code,airport_name,total_flights,operated_flights,cancelled_flights,cancellation_pct,avg_departure_delay_mins,avg_departure_delay_time,avg_arrival_delay_mins,avg_arrival_delay_time,congestion_risk_score,congestion_rank
10135,"Airport Code: 10135",239,239,0,0.00,9,00:09:22,7,00:06:34,4.12,207
10136,"Airport Code: 10136",201,194,7,3.48,4,00:04:04,-6,-00:05:57,1.77,406
10140,"Airport Code: 10140",1816,1809,7,0.39,6,00:05:58,1,00:00:42,2.12,375
10141,"Airport Code: 10141",71,70,1,1.41,2,00:01:31,1,00:00:40,1.29,445
10146,"Airport Code: 10146",87,87,0,0.00,9,00:08:40,11,00:10:45,4.75,160
10154,"Airport Code: 10154",28,28,0,0.00,23,00:22:51,26,00:25:32,11.96,6
10155,"Airport Code: 10155",148,141,7,4.73,-4,-00:04:07,-13,-00:12:34,-1.39,592
10157,"Airport Code: 10157",122,119,3,2.46,12,00:12:14,9,00:09:15,6.75,41
10158,"Airport Code: 10158",248,247,1,0.40,0,-00:00:05,-5,-00:04:43,-0.76,577
10165,"Airport Code: 10165",9,9,0,0.00,18,00:17:33,20,00:19:33,9.18,18
10170,"Airport Code: 10170",31,28,3,9.68,-2,-00:01:51,2,00:01:30,4.58,176
10185,"Airport Code: 10185",282,278,4,1.42,4,00:03:31,1,00:00:33,1.87,397
10208,"Airport Code: 10208",223,223,0,0.00,1,00:00:33,3,00:02:58,0.75,488
10257,"Airport Code: 10257",734,733,1,0.14,2,00:01:38,-6,-00:06:01,-0.64,574
10268,"Airport Code: 10268",57,57,0,0.00,-6,-00:05:59,-17,-00:17:23,-5.27,626
10279,"Airport Code: 10279",307,304,3,0.98,4,00:04:05,2,00:01:42,2.05,380
10299,"Airport Code: 10299",1234,1228,6,0.49,1,00:01:08,-2,-00:01:44,0.24,523
10333,"Airport Code: 10333",53,50,3,5.66,-1,-00:01:24,4,00:04:23,3.29,281
10372,"Airport Code: 10372",59,58,1,1.69,3,00:02:54,2,00:02:18,2.18,368
10397,"Airport Code: 10397",32588,32557,31,0.10,4,00:04:14,-4,-00:04:13,0.47,501
10408,"Airport Code: 10408",260,259,1,0.38,3,00:03:15,4,00:04:08,2.00,384
10423,"Airport Code: 10423",4021,3879,142,3.53,8,00:07:52,1,00:01:03,4.34,194
10431,"Airport Code: 10431",284,279,5,1.76,8,00:08:28,9,00:08:35,5.14,122
10434,"Airport Code: 10434",113,113,0,0.00,7,00:07:27,7,00:06:45,3.58,262
10469,"Airport Code: 10469",121,120,1,0.83,-1,-00:01:16,-3,-00:02:42,-0.50,568
10529,"Airport Code: 10529",1714,1708,6,0.35,2,00:02:08,-6,-00:06:06,-0.41,560
10551,"Airport Code: 10551",84,84,0,0.00,1,00:00:34,5,00:04:36,1.09,459
10561,"Airport Code: 10561",183,183,0,0.00,0,-00:00:13,0,-00:00:09,-0.10,546
10577,"Airport Code: 10577",62,62,0,0.00,4,00:04:27,8,00:07:34,2.85,316
10581,"Airport Code: 10581",27,27,0,0.00,20,00:20:07,17,00:17:04,9.45,15
10599,"Airport Code: 10599",1146,1143,3,0.26,7,00:06:50,2,00:01:31,2.49,346
10620,"Airport Code: 10620",264,263,1,0.38,-3,-00:02:52,-7,-00:07:18,-2.13,606
10627,"Airport Code: 10627",339,338,1,0.29,1,00:01:16,-4,-00:03:38,-0.20,552
10631,"Airport Code: 10631",62,62,0,0.00,0,-00:00:17,-2,-00:01:57,-0.48,566
10685,"Airport Code: 10685",238,238,0,0.00,-1,-00:01:25,-7,-00:06:54,-1.80,598
10693,"Airport Code: 10693",4477,4456,21,0.47,6,00:05:57,-1,-00:01:07,1.79,403
10713,"Airport Code: 10713",1160,1157,3,0.26,6,00:06:12,2,00:02:18,2.45,349
10721,"Airport Code: 10721",10164,10115,49,0.48,5,00:05:08,-2,-00:01:43,1.44,428
10728,"Airport Code: 10728",87,85,2,2.30,1,00:01:05,-3,-00:03:21,0.80,487
10731,"Airport Code: 10731",85,85,0,0.00,9,00:08:52,1,00:00:46,2.81,321
10732,"Airport Code: 10732",96,96,0,0.00,12,00:11:46,7,00:06:48,4.89,147
10739,"Airport Code: 10739",53,53,0,0.00,5,00:04:53,6,00:05:37,2.59,341
10747,"Airport Code: 10747",204,196,8,3.92,2,00:02:25,-6,-00:06:20,1.42,431
10754,"Airport Code: 10754",81,80,1,1.23,0,00:00:16,0,-00:00:14,0.65,494
10779,"Airport Code: 10779",62,61,1,1.61,-6,-00:05:38,-10,-00:09:37,-2.81,620
10781,"Airport Code: 10781",659,648,11,1.67,8,00:07:54,6,00:05:54,4.39,190
10785,"Airport Code: 10785",348,345,3,0.86,6,00:05:50,4,00:03:37,2.91,311
10792,"Airport Code: 10792",1593,1585,8,0.50,4,00:04:01,-1,-00:01:18,1.19,452
10800,"Airport Code: 10800",1768,1755,13,0.74,3,00:02:35,1,00:00:59,1.34,441
10821,"Airport Code: 10821",8022,8002,20,0.25,8,00:08:10,2,00:01:42,2.91,312
10849,"Airport Code: 10849",335,334,1,0.30,-3,-00:02:50,-7,-00:07:06,-2.12,605
10868,"Airport Code: 10868",434,414,20,4.61,8,00:08:04,6,00:05:38,5.85,82
10874,"Airport Code: 10874",491,489,2,0.41,3,00:03:15,-1,-00:01:29,0.88,482
10918,"Airport Code: 10918",53,53,0,0.00,-5,-00:04:53,-5,-00:05:27,-2.56,616
10926,"Airport Code: 10926",62,62,0,0.00,-5,-00:05:29,-2,-00:02:06,-2.06,604
10980,"Airport Code: 10980",417,415,2,0.48,5,00:04:42,4,00:03:42,2.39,354
10990,"Airport Code: 10990",237,236,1,0.42,5,00:05:10,1,00:01:04,1.97,388
10994,"Airport Code: 10994",1207,1205,2,0.17,6,00:06:27,2,00:01:43,2.36,356
11003,"Airport Code: 11003",532,529,3,0.56,2,00:02:25,2,00:01:50,1.37,438
11013,"Airport Code: 11013",57,57,0,0.00,3,00:03:06,4,00:03:31,1.63,412
11042,"Airport Code: 11042",3224,3205,19,0.59,4,00:03:54,-2,-00:01:43,1.12,455
11049,"Airport Code: 11049",223,218,5,2.24,0,-00:00:24,-6,-00:05:46,-0.15,549
11057,"Airport Code: 11057",9572,9551,21,0.22,5,00:04:41,2,00:01:37,1.84,399
11066,"Airport Code: 11066",2188,2179,9,0.41,4,00:04:15,-2,-00:02:11,1.04,464
11067,"Airport Code: 11067",206,206,0,0.00,-2,-00:01:36,-9,-00:08:57,-2.27,609
11076,"Airport Code: 11076",62,60,2,3.23,-4,-00:03:35,-6,-00:05:54,-0.64,575
11097,"Airport Code: 11097",31,30,1,3.23,4,00:04:14,5,00:04:52,3.86,240
11109,"Airport Code: 11109",610,608,2,0.33,7,00:06:31,5,00:05:06,3.14,294
11111,"Airport Code: 11111",123,123,0,0.00,6,00:05:56,1,00:01:16,2.03,381
11122,"Airport Code: 11122",138,137,1,0.72,-2,-00:02:18,-4,-00:04:11,-1.17,584
11140,"Airport Code: 11140",366,360,6,1.64,10,00:09:45,6,00:05:37,4.87,152
11146,"Airport Code: 11146",224,224,0,0.00,5,00:04:30,4,00:04:06,2.17,370
11150,"Airport Code: 11150",112,112,0,0.00,6,00:05:48,4,00:04:03,2.55,343
11193,"Airport Code: 11193",1919,1908,11,0.57,2,00:02:27,-1,-00:01:25,0.74,489
11203,"Airport Code: 11203",145,145,0,0.00,-3,-00:02:43,-3,-00:02:32,-1.32,590
11252,"Airport Code: 11252",119,119,0,0.00,-1,-00:01:17,-5,-00:04:45,-1.33,591
11259,"Airport Code: 11259",5930,5884,46,0.78,10,00:10:28,6,00:05:45,4.68,169
11267,"Airport Code: 11267",753,747,6,0.80,3,00:02:53,0,00:00:20,1.33,442
11274,"Airport Code: 11274",87,87,0,0.00,-2,-00:01:30,-8,-00:07:32,-1.96,601
11278,"Airport Code: 11278",6819,6770,49,0.72,5,00:04:41,-1,-00:01:04,1.55,422
11292,"Airport Code: 11292",18136,18103,33,0.18,6,00:05:53,-1,-00:01:15,1.61,416
11298,"Airport Code: 11298",21044,20631,413,1.96,7,00:06:55,1,00:00:44,3.21,292
11308,"Airport Code: 11308",118,118,0,0.00,5,00:05:03,6,00:06:22,2.79,323
11315,"Airport Code: 11315",61,61,0,0.00,4,00:03:42,0,00:00:26,1.20,449
11337,"Airport Code: 11337",223,222,1,0.45,3,00:03:01,5,00:05:11,2.16,371
11413,"Airport Code: 11413",178,177,1,0.56,10,00:09:56,5,00:04:58,4.25,199
11423,"Airport Code: 11423",710,705,5,0.70,5,00:04:39,-1,-00:01:23,1.47,426
11433,"Airport Code: 11433",9925,9902,23,0.23,5,00:04:55,-1,-00:00:51,1.42,432
11447,"Airport Code: 11447",49,49,0,0.00,-2,-00:01:38,-7,-00:06:36,-1.81,599
11471,"Airport Code: 11471",62,62,0,0.00,12,00:11:30,6,00:05:57,4.64,171
11481,"Airport Code: 11481",376,376,0,0.00,2,00:01:39,-3,-00:03:02,-0.11,547
11503,"Airport Code: 11503",4,4,0,0.00,-9,-00:08:30,-16,-00:16:00,-5.75,628
11525,"Airport Code: 11525",53,53,0,0.00,-6,-00:05:31,-4,-00:03:37,-2.38,610
11537,"Airport Code: 11537",195,195,0,0.00,0,00:00:13,5,00:04:50,1.03,465
11540,"Airport Code: 11540",1046,1042,4,0.38,6,00:05:57,1,00:01:24,2.26,363
11577,"Airport Code: 11577",57,57,0,0.00,-4,-00:04:19,-6,-00:06:12,-2.53,615
11587,"Airport Code: 11587",53,52,1,1.89,10,00:09:31,8,00:07:58,5.39,103
11603,"Airport Code: 11603",328,326,2,0.61,4,00:04:06,0,00:00:13,1.58,420
11612,"Airport Code: 11612",399,397,2,0.50,7,00:06:52,5,00:04:59,3.31,278
11617,"Airport Code: 11617",55,55,0,0.00,4,00:03:41,4,00:03:35,1.82,402
11618,"Airport Code: 11618",9622,9528,94,0.98,8,00:08:26,-2,-00:01:54,2.64,337
11624,"Airport Code: 11624",151,151,0,0.00,-3,-00:02:48,-6,-00:05:52,-2.02,602
11630,"Airport Code: 11630",177,176,1,0.56,-3,-00:02:52,-3,-00:03:04,-1.19,586
11637,"Airport Code: 11637",527,524,3,0.57,3,00:03:01,-1,-00:00:32,1.08,460
11638,"Airport Code: 11638",656,653,3,0.46,4,00:04:30,4,00:03:55,2.36,357
11641,"Airport Code: 11641",150,150,0,0.00,4,00:03:40,-1,-00:00:46,0.94,474
11648,"Airport Code: 11648",123,123,0,0.00,-6,-00:06:05,-9,-00:09:01,-3.63,623
11695,"Airport Code: 11695",158,156,2,1.27,11,00:10:40,12,00:12:26,6.32,55
11697,"Airport Code: 11697",5812,5769,43,0.74,7,00:07:20,1,00:01:21,2.84,318
11721,"Airport Code: 11721",413,412,1,0.24,-1,-00:00:52,-6,-00:05:36,-1.26,588
11775,"Airport Code: 11775",445,443,2,0.45,4,00:04:03,1,00:01:26,1.72,408
11778,"Airport Code: 11778",180,175,5,2.78,-1,-00:00:57,-7,-00:07:06,-0.32,557
11823,"Airport Code: 11823",511,511,0,0.00,0,00:00:05,-2,-00:02:29,-0.47,564
11865,"Airport Code: 11865",88,88,0,0.00,6,00:05:38,1,00:01:11,1.93,391
11867,"Airport Code: 11867",62,60,2,3.23,-3,-00:02:32,-10,-00:09:33,-1.06,583
11884,"Airport Code: 11884",828,826,2,0.24,4,00:04:11,1,00:01:18,1.63,413
11898,"Airport Code: 11898",90,90,0,0.00,-1,-00:00:30,3,00:02:51,0.42,508
11905,"Airport Code: 11905",59,57,2,3.39,8,00:07:39,5,00:04:55,4.97,137
11921,"Airport Code: 11921",271,270,1,0.37,6,00:05:54,5,00:05:05,2.97,307
11953,"Airport Code: 11953",234,234,0,0.00,6,00:05:45,3,00:03:21,2.39,355
