airport_code,airport_name,extreme_delay_flights,avg_arrival_delay_mins,avg_arrival_delay_time
ORD,"Chicago O'Hare International Airport",8848,212,03:31:38
ATL,"Hartsfield-Jackson Atlanta International Airport",7061,217,03:37:22
DFW,"Dallas/Fort Worth International Airport",5961,238,03:57:43
DEN,"Denver International Airport",4280,208,03:27:31
SFO,"San Francisco International Airport",3954,191,03:10:43
LAX,"Los Angeles International Airport",3761,203,03:22:51
IAH,"George Bush Intercontinental Airport",3696,204,03:23:44
EWR,"Newark Liberty International Airport",3261,192,03:12:26
JFK,"John F. Kennedy International Airport (New York International Airport)",3141,207,03:26:54
LGA,"LaGuardia Airport (Marine Air Terminal)",3017,191,03:10:59
MCO,"Orlando International Airport",2544,193,03:12:49
BOS,"Gen. Edward Lawrence Logan International Airport",2488,186,03:05:35
DTW,"Detroit Metropolitan Airport",2371,209,03:29:12
LAS,"McCarran International Airport",2249,181,03:01:14
PHX,"Phoenix Sky Harbor International Airport",2139,193,03:13:15
MSP,"Minneapolis-Saint Paul International Airport",1992,223,03:42:39
FLL,"Fort Lauderdale-Hollywood International Airport",1647,189,03:09:23
BWI,"Baltimore-Washington International Airport",1552,182,03:02:25
SEA,"Seattle-Tacoma International Airport",1500,200,03:19:58
MIA,"Miami International Airport",1490,227,03:46:55
PHL,"Philadelphia International Airport",1402,187,03:06:34
CLT,"Charlotte Douglas International Airport",1361,188,03:07:38
MDW,"Chicago Midway International Airport",1359,186,03:05:46
TPA,"Tampa International Airport",1330,190,03:09:44
DCA,"Ronald Reagan Washington National Airport",1310,182,03:01:57
SLC,"Salt Lake City International Airport",1247,218,03:38:23
SAN,"San Diego International Airport (Lindbergh Field)",972,181,03:00:51
AUS,"Austin-Bergstrom International Airport",946,182,03:01:55
HOU,"William P. Hobby Airport",916,183,03:02:56
DAL,"Dallas Love Field",911,186,03:06:00
STL,"St. Louis International Airport at Lambert Field",804,185,03:04:52
CLE,"Cleveland Hopkins International Airport",801,194,03:14:25
BNA,"Nashville International Airport",795,185,03:04:34
IAD,"Washington Dulles International Airport",777,187,03:07:28
PDX,"Portland International Airport",697,185,03:04:34
MSY,"Louis Armstrong New Orleans International Airport",692,182,03:02:25
MCI,"Kansas City International Airport",680,181,03:01:18
RDU,"Raleigh-Durham International Airport",611,184,03:03:37
OAK,"Oakland International Airport",607,180,02:59:37
PBI,"Palm Beach International Airport",571,185,03:04:44
HNL,"Honolulu International Airport",552,244,04:04:22
MKE,"General Mitchell International Airport",537,177,02:56:56
SAT,"San Antonio International Airport",528,180,03:00:00
IND,"Indianapolis International Airport",522,179,02:59:08
RSW,"Southwest Florida International Airport",518,187,03:07:22
SMF,"Sacramento International Airport",503,173,02:52:32
SJU,"Luis Muñoz Marín International Airport",500,189,03:08:43
SJC,"Norman Y. Mineta San José International Airport",488,170,02:50:17
CMH,"Port Columbus International Airport",458,180,02:59:31
PIT,"Pittsburgh International Airport",444,180,02:59:41
CVG,"Cincinnati/Northern Kentucky International Airport",431,189,03:09:18
11298,"Airport Code: 11298",425,248,04:08:21
BDL,"Bradley International Airport",411,182,03:01:58
RIC,"Richmond International Airport",378,184,03:03:56
10397,"Airport Code: 10397",348,231,03:51:01
JAX,"Jacksonville International Airport",330,180,03:00:01
BUF,"Buffalo Niagara International Airport",328,181,03:00:41
13930,"Airport Code: 13930",318,247,04:06:51
OKC,"Will Rogers World Airport",317,178,02:57:33
SNA,"John Wayne Airport (Orange County Airport)",286,177,02:56:55
TUS,"Tucson International Airport",285,172,02:52:26
OMA,"Eppley Airfield",282,178,02:58:01
ABQ,"Albuquerque International Sunport",267,178,02:58:16
MEM,"Memphis International Airport",263,184,03:04:14
TUL,"Tulsa International Airport",263,177,02:56:41
ONT,"Ontario International Airport",260,164,02:44:18
11618,"Airport Code: 11618",245,179,02:59:12
BUR,"Bob Hope Airport (Hollywood Burbank Airport)",232,163,02:42:44
OGG,"Kahului Airport",229,234,03:53:57
12266,"Airport Code: 12266",226,208,03:28:24
14771,"Airport Code: 14771",225,203,03:22:42
PVD,"Theodore Francis Green State Airport",223,179,02:58:56
BHM,"Birmingham-Shuttlesworth International Airport",220,176,02:55:46
11292,"Airport Code: 11292",207,219,03:38:52
TYS,"McGhee Tyson Airport",206,182,03:02:14
12892,"Airport Code: 12892",205,220,03:40:24
CHS,"Charleston International Airport/Charleston AFB",205,180,03:00:30
XNA,"Northwest Arkansas Regional Airport",205,180,03:00:00
ELP,"El Paso International Airport",201,175,02:55:10
GRR,"Gerald R. Ford International Airport",199,182,03:02:08
HPN,"Westchester County Airport",199,181,03:01:28
LIT,"Bill and Hillary Clinton National Airport (Adams Field)",197,176,02:55:42
DSM,"Des Moines International Airport",196,179,02:59:13
BOI,"Boise Airport (Boise Air Terminal)",194,170,02:49:55
SDF,"Louisville International Airport (Standiford Field)",187,176,02:55:37
BTR,"Baton Rouge Metropolitan Airport",186,176,02:56:16
COS,"City of Colorado Springs Municipal Airport",183,185,03:04:30
ANC,"Ted Stevens Anchorage International Airport",182,197,03:17:15
12953,"Airport Code: 12953",181,178,02:57:54
RNO,"Reno/Tahoe International Airport",178,179,02:58:53
MSN,"Dane County Regional Airport",174,181,03:01:19
12478,"Airport Code: 12478",165,216,03:36:28
DAY,"James M. Cox Dayton International Airport",165,189,03:08:34
GSO,"Piedmont Triad International Airport",165,185,03:05:00
FAT,"Fresno Yosemite International Airport",161,172,02:51:41
ORF,"Norfolk International Airport",161,190,03:09:38
CID,"The Eastern Iowa Airport",156,179,02:58:59
ICT,"Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport)",156,177,02:56:37
ALB,"Albany International Airport",155,182,03:01:42
ROC,"Greater Rochester International Airport",148,183,03:02:58
SHV,"Shreveport Regional Airport",147,172,02:51:31
LGB,"Long Beach Airport (Daugherty Field)",144,182,03:02:17
SGF,"Springfield-Branson National Airport",144,188,03:08:16
PSP,"Palm Springs International Airport",143,179,02:59:25
CAE,"Columbia Metropolitan Airport",142,192,03:11:33
CAK,"Akron-Canton Regional Airport",142,191,03:10:47
MHT,"Manchester-Boston Regional Airport",141,187,03:06:51
SAV,"Savannah/Hilton Head International Airport",139,193,03:12:45
TTN,"Trenton Mercer Airport",139,227,03:46:45
10721,"Airport Code: 10721",132,186,03:05:46
14107,"Airport Code: 14107",128,193,03:12:47
