airport_code,airport_name,extreme_delay_flights,avg_extreme_arrival_delay_mins,avg_arrival_delay_time
ORD,"Chicago O'Hare International Airport",8126,190,03:09:57
ATL,"Hartsfield-Jackson Atlanta International Airport",5707,189,03:09:00
DFW,"Dallas/Fort Worth International Airport",5081,189,03:08:41
DEN,"Denver International Airport",4016,184,03:03:44
LAX,"Los Angeles International Airport",3539,192,03:11:32
IAH,"George Bush Intercontinental Airport",3321,188,03:08:12
LGA,"LaGuardia Airport (Marine Air Terminal)",3067,191,03:10:41
SFO,"San Francisco International Airport",3053,194,03:13:47
MCO,"Orlando International Airport",2992,197,03:17:16
EWR,"Newark Liberty International Airport",2729,187,03:07:24
JFK,"John F. Kennedy International Airport (New York International Airport)",2521,199,03:18:49
LAS,"McCarran International Airport",2480,196,03:16:17
BOS,"Gen. Edward Lawrence Logan International Airport",2314,195,03:15:09
DTW,"Detroit Metropolitan Airport",2289,194,03:13:53
BWI,"Baltimore-Washington International Airport",2021,192,03:12:22
PHX,"Phoenix Sky Harbor International Airport",1956,189,03:08:33
FLL,"Fort Lauderdale-Hollywood International Airport",1647,189,03:08:50
MSP,"Minneapolis-Saint Paul International Airport",1638,196,03:16:27
CLT,"Charlotte Douglas International Airport",1604,186,03:06:18
PHL,"Philadelphia International Airport",1603,194,03:14:18
DCA,"Ronald Reagan Washington National Airport",1588,201,03:21:13
MIA,"Miami International Airport",1570,190,03:09:52
MDW,"Chicago Midway International Airport",1526,180,03:00:06
TPA,"Tampa International Airport",1457,199,03:18:57
SEA,"Seattle-Tacoma International Airport",1305,195,03:15:19
SLC,"Salt Lake City International Airport",1080,201,03:21:21
SAN,"San Diego International Airport (Lindbergh Field)",1034,197,03:17:20
IAD,"Washington Dulles International Airport",1010,197,03:17:10
DAL,"Dallas Love Field",1002,181,03:01:25
HOU,"William P. Hobby Airport",955,182,03:01:56
AUS,"Austin-Bergstrom International Airport",942,209,03:28:44
BNA,"Nashville International Airport",926,206,03:26:19
STL,"St. Louis International Airport at Lambert Field",866,196,03:15:46
MSY,"Louis Armstrong New Orleans International Airport",802,196,03:16:11
CLE,"Cleveland Hopkins International Airport",776,215,03:35:25
MCI,"Kansas City International Airport",751,206,03:26:26
