airline_code,airline_name,month,total_flights,operated_flights,cancelled_flights,ontime_flights,avg_arrival_delay_mins_int,avg_arrival_delay_time
AA,"American Airlines Inc.",1,44059,43159,900,33630,7,00:06:57
AA,"American Airlines Inc.",2,39835,37281,2554,29356,8,00:07:31
AA,"American Airlines Inc.",3,45966,44538,1428,34773,7,00:06:41
AA,"American Airlines Inc.",4,44770,44416,354,35682,5,00:04:54
AA,"American Airlines Inc.",5,44710,43826,884,35209,5,00:05:09
AA,"American Airlines Inc.",6,44360,43821,539,34014,8,00:08:09
AA,"American Airlines Inc.",7,81434,80872,562,65392,4,00:03:52
AA,"American Airlines Inc.",8,79748,78958,790,64510,3,00:03:11
AA,"American Airlines Inc.",9,73379,73026,353,62952,-1,-00:01:26
AA,"American Airlines Inc.",10,77290,76565,725,66386,-1,-00:00:35
AA,"American Airlines Inc.",11,73871,73319,552,62015,1,00:00:46
AA,"American Airlines Inc.",12,76562,75284,1278,60867,4,00:04:08
AS,"Alaska Airlines Inc.",1,13257,13193,64,11254,0,-00:00:19
AS,"Alaska Airlines Inc.",2,12194,12081,113,10429,-1,-00:00:47
AS,"Alaska Airlines Inc.",3,14276,14237,39,12267,-1,-00:00:33
AS,"Alaska Airlines Inc.",4,13974,13909,65,12502,-3,-00:03:00
AS,"Alaska Airlines Inc.",5,14682,14637,45,12955,-2,-00:01:43
AS,"Alaska Airlines Inc.",6,15075,15015,60,13212,0,-00:00:13
AS,"Alaska Airlines Inc.",7,15821,15772,49,13705,0,00:00:23
AS,"Alaska Airlines Inc.",8,16095,16059,36,13374,2,00:02:30
AS,"Alaska Airlines Inc.",9,14271,14245,26,12678,-2,-00:01:49
AS,"Alaska Airlines Inc.",10,14467,14434,33,12786,-3,-00:02:59
AS,"Alaska Airlines Inc.",11,13950,13904,46,11954,-2,-00:01:55
AS,"Alaska Airlines Inc.",12,14459,14366,93,12384,-2,-00:01:50
B6,"JetBlue Airways",1,21623,20521,1102,15577,7,00:07:20
B6,"JetBlue Airways",2,19751,18455,1296,11873,19,00:18:35
B6,"JetBlue Airways",3,22590,22132,458,16267,11,00:10:41
B6,"JetBlue Airways",4,22020,21881,139,17768,3,00:02:46
B6,"JetBlue Airways",5,22565,22393,172,19071,-1,-00:00:42
B6,"JetBlue Airways",6,22558,22327,231,17705,5,00:05:02
B6,"JetBlue Airways",7,24029,23804,225,18446,6,00:05:50
B6,"JetBlue Airways",8,23826,23571,255,17695,9,00:09:15
B6,"JetBlue Airways",9,21133,21043,90,16932,4,00:03:32
B6,"JetBlue Airways",10,21913,21783,130,17768,4,00:03:40
B6,"JetBlue Airways",11,21697,21585,112,18050,1,00:01:25
B6,"JetBlue Airways",12,23343,23277,66,16445,14,00:13:48
DL,"Delta Air Lines Inc.",1,64421,63743,678,55557,-2,-00:02:03
DL,"Delta Air Lines Inc.",2,60884,59188,1696,47602,6,00:05:36
DL,"Delta Air Lines Inc.",3,74166,73642,524,62411,2,00:02:04
DL,"Delta Air Lines Inc.",4,72170,72023,147,62804,0,00:00:05
DL,"Delta Air Lines Inc.",5,74815,74672,143,65408,0,00:00:09
DL,"Delta Air Lines Inc.",6,77255,77016,239,63721,4,00:04:24
DL,"Delta Air Lines Inc.",7,80741,80635,106,68265,1,00:01:12
DL,"Delta Air Lines Inc.",8,80947,80878,69,69386,1,00:00:39
DL,"Delta Air Lines Inc.",9,72063,72057,6,65345,-4,-00:03:42
DL,"Delta Air Lines Inc.",10,75552,75535,17,69654,-5,-00:05:00
DL,"Delta Air Lines Inc.",11,72228,72214,14,64695,-3,-00:03:10
DL,"Delta Air Lines Inc.",12,70639,70454,185,59186,2,00:02:30
EV,"Atlantic Southeast Airlines",1,49925,48223,1702,37232,9,00:08:31
EV,"Atlantic Southeast Airlines",2,45138,42136,3002,31594,10,00:10:23
EV,"Atlantic Southeast Airlines",3,54190,52055,2135,41463,7,00:06:42
EV,"Atlantic Southeast Airlines",4,49296,48367,929,39765,5,00:04:48
EV,"Atlantic Southeast Airlines",5,49213,48172,1041,38444,8,00:07:41
EV,"Atlantic Southeast Airlines",6,49119,47377,1742,34873,14,00:13:53
EV,"Atlantic Southeast Airlines",7,50381,49472,909,39820,7,00:06:54
EV,"Atlantic Southeast Airlines",8,48554,47826,728,39382,5,00:05:08
EV,"Atlantic Southeast Airlines",9,43721,43455,266,37595,1,00:00:51
EV,"Atlantic Southeast Airlines",10,45728,45251,477,38544,2,00:02:18
EV,"Atlantic Southeast Airlines",11,42572,41789,783,34528,4,00:04:24
EV,"Atlantic Southeast Airlines",12,44140,42623,1517,34322,7,00:06:39
F9,"Frontier Airlines Inc.",1,6829,6740,89,4589,18,00:18:21
F9,"Frontier Airlines Inc.",2,5809,5701,108,3427,27,00:27:23
F9,"Frontier Airlines Inc.",3,6950,6889,61,4539,20,00:20:03
F9,"Frontier Airlines Inc.",4,7148,7110,38,5202,13,00:12:37
