origin_airport_code,origin_airport_name,month,total_flights,cancelled_flights,cancellation_rate_pct,avg_departure_delay_mins_int,avg_departure_delay_time,avg_arrival_delay_mins_int,avg_arrival_delay_time,avg_taxi_out,avg_taxi_in
10135,"Airport Code: 10135",10,239,0,0.00,9,00:09:22,7,00:06:34,12,8
10136,"Airport Code: 10136",10,201,7,3.48,4,00:04:04,-6,-00:05:57,9,10
10140,"Airport Code: 10140",10,1816,7,0.39,6,00:05:58,1,00:00:42,12,8
10141,"Airport Code: 10141",10,71,1,1.41,2,00:01:31,1,00:00:40,16,8
10146,"Airport Code: 10146",10,87,0,0.00,9,00:08:40,11,00:10:45,14,8
10154,"Airport Code: 10154",10,28,0,0.00,23,00:22:51,26,00:25:32,16,8
10155,"Airport Code: 10155",10,148,7,4.73,-4,-00:04:07,-13,-00:12:34,9,12
10157,"Airport Code: 10157",10,122,3,2.46,12,00:12:14,9,00:09:15,14,5
10158,"Airport Code: 10158",10,248,1,0.40,0,-00:00:05,-5,-00:04:43,11,8
10165,"Airport Code: 10165",10,9,0,0.00,18,00:17:33,20,00:19:33,12,4
10170,"Airport Code: 10170",10,31,3,9.68,-2,-00:01:51,2,00:01:30,7,4
10185,"Airport Code: 10185",10,282,4,1.42,4,00:03:31,1,00:00:33,13,10
10208,"Airport Code: 10208",10,223,0,0.00,1,00:00:33,3,00:02:58,17,9
10257,"Airport Code: 10257",10,734,1,0.14,2,00:01:38,-6,-00:06:01,14,8
10268,"Airport Code: 10268",10,57,0,0.00,-6,-00:05:59,-17,-00:17:23,12,13
10279,"Airport Code: 10279",10,307,3,0.98,4,00:04:05,2,00:01:42,10,8
10299,"Airport Code: 10299",10,1234,6,0.49,1,00:01:08,-2,-00:01:44,12,6
10333,"Airport Code: 10333",10,53,3,5.66,-1,-00:01:24,4,00:04:23,12,8
10372,"Airport Code: 10372",10,59,1,1.69,3,00:02:54,2,00:02:18,13,9
10397,"Airport Code: 10397",10,32588,31,0.10,4,00:04:14,-4,-00:04:13,16,6
10408,"Airport Code: 10408",10,260,1,0.38,3,00:03:15,4,00:04:08,14,10
