destination_airport_code,destination_airport_name,month,total_flights,cancelled_flights,cancellation_rate_pct,avg_departure_delay_mins_int,avg_departure_delay_time,avg_arrival_delay_mins_int,avg_arrival_delay_time,avg_taxi_out,avg_taxi_in
10135,"Airport Code: 10135",10,238,1,0.42,4,00:04:02,1,00:01:10,20,4
10136,"Airport Code: 10136",10,201,7,3.48,5,00:04:51,1,00:01:13,15,4
10140,"Airport Code: 10140",10,1815,3,0.17,6,00:06:00,2,00:01:38,15,6
10141,"Airport Code: 10141",10,71,0,0.00,4,00:04:07,-2,-00:01:53,17,5
10146,"Airport Code: 10146",10,87,0,0.00,8,00:07:43,7,00:07:08,18,4
10154,"Airport Code: 10154",10,28,0,0.00,7,00:07:17,7,00:06:45,21,4
10155,"Airport Code: 10155",10,148,7,4.73,-1,-00:01:10,-2,-00:02:01,19,4
10157,"Airport Code: 10157",10,122,2,1.64,8,00:07:51,9,00:09:15,24,5
10158,"Airport Code: 10158",10,248,1,0.40,4,00:03:53,4,00:03:34,12,4
10165,"Airport Code: 10165",10,9,0,0.00,-10,-00:09:47,-16,-00:15:47,12,5
10170,"Airport Code: 10170",10,31,3,9.68,0,-00:00:09,1,00:00:34,10,3
10185,"Airport Code: 10185",10,282,4,1.42,7,00:07:01,6,00:06:09,17,3
10208,"Airport Code: 10208",10,222,0,0.00,4,00:04:06,0,00:00:05,17,4
10257,"Airport Code: 10257",10,733,0,0.00,5,00:05:07,-1,-00:01:27,16,4
10268,"Airport Code: 10268",10,56,0,0.00,-1,-00:01:15,-8,-00:07:49,18,5
10279,"Airport Code: 10279",10,307,3,0.98,4,00:03:34,2,00:01:35,15,5
10299,"Airport Code: 10299",10,1232,9,0.73,3,00:03:20,0,-00:00:17,14,4
10333,"Airport Code: 10333",10,53,2,3.77,-1,-00:00:34,-6,-00:06:15,19,5
10372,"Airport Code: 10372",10,59,0,0.00,5,00:04:34,5,00:04:48,19,3
10397,"Airport Code: 10397",10,32594,37,0.11,4,00:03:47,-2,-00:02:13,16,9
10408,"Airport Code: 10408",10,260,1,0.38,1,00:01:02,0,00:00:11,20,5
10423,"Airport Code: 10423",10,4014,116,2.89,8,00:07:30,2,00:02:20,15,6
10431,"Airport Code: 10431",10,283,4,1.41,10,00:09:49,7,00:07:11,18,4
10434,"Airport Code: 10434",10,113,0,0.00,2,00:02:04,-1,-00:00:47,19,4
10469,"Airport Code: 10469",10,121,1,0.83,1,00:01:06,-10,-00:10:03,17,3
10529,"Airport Code: 10529",10,1715,6,0.35,6,00:05:58,-1,-00:00:42,16,5
10551,"Airport Code: 10551",10,84,0,0.00,1,00:00:48,-1,-00:00:54,10,4
10561,"Airport Code: 10561",10,183,0,0.00,1,00:00:50,-2,-00:02:08,20,5
10577,"Airport Code: 10577",10,61,0,0.00,4,00:04:08,-1,-00:00:56,17,4
10581,"Airport Code: 10581",10,26,0,0.00,10,00:10:16,8,00:08:12,19,4
10599,"Airport Code: 10599",10,1146,3,0.26,6,00:06:15,1,00:01:23,17,4
10620,"Airport Code: 10620",10,263,0,0.00,0,00:00:05,-5,-00:05:12,17,4
10627,"Airport Code: 10627",10,340,1,0.29,1,00:01:26,-4,-00:03:52,17,4
10631,"Airport Code: 10631",10,62,0,0.00,0,00:00:16,-1,-00:01:07,18,4
10666,"Airport Code: 10666",10,1,0,0.00,-3,-00:03:00,-6,-00:06:00,12,4
10685,"Airport Code: 10685",10,238,0,0.00,3,00:02:33,-6,-00:05:53,18,3
10693,"Airport Code: 10693",10,4479,17,0.38,6,00:05:38,-1,-00:00:48,15,6
10713,"Airport Code: 10713",10,1163,4,0.34,5,00:05:00,1,00:00:49,18,4
10721,"Airport Code: 10721",10,10161,57,0.56,6,00:06:20,0,00:00:21,17,7
10728,"Airport Code: 10728",10,87,1,1.15,4,00:04:28,4,00:04:18,17,4
10731,"Airport Code: 10731",10,85,0,0.00,12,00:11:50,8,00:07:44,17,3
10732,"Airport Code: 10732",10,98,0,0.00,11,00:11:10,6,00:06:24,16,7
10739,"Airport Code: 10739",10,53,0,0.00,0,00:00:26,-6,-00:06:25,16,5
10747,"Airport Code: 10747",10,203,9,4.43,2,00:01:38,-1,-00:00:30,17,6
10754,"Airport Code: 10754",10,81,1,1.23,-4,-00:03:33,-1,-00:01:23,8,4
10779,"Airport Code: 10779",10,62,1,1.61,-4,-00:04:25,-6,-00:05:39,20,4
10781,"Airport Code: 10781",10,659,8,1.21,6,00:06:01,4,00:04:06,17,5
